Gemeinde,Verwaltungskreis,Disparitätenabbau,Mindestausstattung,Pauschale Abgeltung,Geo-topo Zuschuss,Sozio-demo Zuschuss
Pontenet,Jura bernois,39988.2371960679,0,0,14421,1432
Reconvilier,Jura bernois,629983.766528721,321063,0,0,33056
Roches,Jura bernois,93380.966268707,81811,0,136779,2584
Saicourt,Jura bernois,216243.275003846,169680,0,114352,3575
Saules,Jura bernois,60210.7171533152,51771,0,53971,882
Schelten,Jura bernois,24113.982211549,0,0,51200,284
Seehof,Jura bernois,38791.3171393709,13450,0,84800,257
Sornetan,Jura bernois,47639.3505606283,38656,0,66665,1018
Sorvilier,Jura bernois,67066.3530646151,23786,0,109415,1557
Souboz,Jura bernois,50313.1525602576,37802,0,144348,819
Tavannes,Jura bernois,960864.453739397,453922,0,0,57677
Rebévelier,Jura bernois,27035.7599437039,11745,0,22347,95
Diesse,Jura bernois,111943.009814115,45414,0,120747,4746
Lamboing,Jura bernois,177854.414479493,75523,0,65892,6406
La Neuveville,Jura bernois,-319816.51558557,0,0,0,43712
Nods,Jura bernois,152846.857582964,9417,0,314763,5984
Prêles,Jura bernois,83817.6670332663,0,0,45850,7231
Kanton Bern,Kanton Bern,0,-35674273,-90844000,-38722509,-12000003
